rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students
1201–1500,University of Oradea,22.8–28.2,16.7,14.6,35,16.9,41,"15,820",17.5,6%
1201–1500,Osaka Metropolitan University,22.8–28.2,29.1,18.7,29.8,79.5,26.6,"15,734",11.5,4%
1201–1500,Osmania University,22.8–28.2,33.9,16.3,31.1,27.7,21.4,"10,520",25.7,3%
1201–1500,Paris Nanterre University,22.8–28.2,20.9,16.8,27.9,42.9,66.7,"35,218",23.4,16%
1201–1500,University of Pau and Pays de l’Adour,22.8–28.2,23.4,12.4,21.6,28.5,79.9,"14,105",13.9,15%
1201–1500,Pavol Jozef Šafárik University in Košice,22.8–28.2,40.7,10.2,17.1,24.9,62.1,"7,060",10.3,24%
1201–1500,Persian Gulf University,22.8–28.2,17.8,14.1,45.5,28.8,38.2,"5,499",23.1,5%
1201–1500,University of the Philippines,22.8–28.2,25.4,15.3,38.7,22.8,38.4,"53,676",11.1,0%
1201–1500,Pirogov Russian National Research Medical University,22.8–28.2,44.2,13.3,14.5,28.1,22.6,"9,613",6.9,4%
1201–1500,Polytechnic Institute of Porto,22.8–28.2,15,11.9,49.6,22.1,31.8,"19,211",16.9,5%
1201–1500,Pontifical Catholic University of Peru,22.8–28.2,24.8,9.8,29.7,16.9,45.6,"27,960",7.3,1%
1201–1500,Pontifical Catholic University of Valparaíso,22.8–28.2,15.8,17.1,32.8,38.1,51.1,"18,104",26.2,1%
1201–1500,Pontifical Javeriana University,22.8–28.2,20.7,11.5,37.4,21,45.3,"28,879",12.9,2%
1201–1500,Pontifícia Universidade Católica do Paraná,22.8–28.2,26.3,12.8,34.3,43,30.7,"11,476",13,1%
1201–1500,Port Said University,22.8–28.2,13.7,8.5,53.7,16.8,46.6,"29,241",28.3,0%
1201–1500,Poznań University of Life Sciences,22.8–28.2,25.1,11.3,45.2,27.4,25.9,"6,184",8.5,6%
1201–1500,Poznan University of Technology,22.8–28.2,22.6,13,35.9,41.8,26.9,"14,304",11.4,6%
1201–1500,Prince of Songkla University,22.8–28.2,23.4,14.8,32.6,43.5,37.7,"33,318",12.9,2%
1201–1500,University of Puerto Rico,22.8–28.2,25,11.4,40.8,37.6,44.4,"43,535",15.2,1%
1201–1500,Pukyong National University,22.8–28.2,26.7,13.9,28.5,39,36.4,"16,563",11.4,10%
1201–1500,University of Qom,22.8–28.2,22.2,12.1,35.1,17.3,48.6,"11,828",43,33%
1201–1500,University Rey Juan Carlos,22.8–28.2,15.8,13.4,51.2,31.3,39.9,"42,153",19.4,6%
1201–1500,Rikkyo University,22.8–28.2,18.6,9.3,34,19.7,58.4,"19,783",14.4,4%
1201–1500,Ritsumeikan University,22.8–28.2,19.8,13.9,27.4,30.3,46.8,"35,119",17.4,10%
1201–1500,Université Saint-Joseph de Beyrouth,22.8–28.2,32.6,10.9,24.2,27,69.7,"7,941",10.9,7%
1201–1500,Saitama Medical University,22.8–28.2,26.5,10.3,39.3,41.5,18.3,"1,915",1.4,0%
1201–1500,Sakarya University,22.8–28.2,16.5,10.6,45.4,24,28.4,"42,601",26.6,7%
1201–1500,Samara National Research University (Samara University),22.8–28.2,27.5,14.8,21.8,26.6,37.1,"9,198",10.7,14%
1201–1500,Sapporo Medical University,22.8–28.2,29.7,12.9,33.1,58.3,17.6,"1,294",3.3,0%
1201–1500,SASTRA University,22.8–28.2,22.4,11.3,45,30.3,29.4,"10,360",13.1,3%
1201–1500,Sathyabama Institute of Science and Technology,22.8–28.2,31.2,9.9,35.1,16.9,29.7,"13,406",10.6,5%
1201–1500,Universitas Sebelas Maret,22.8–28.2,19.3,19.3,33.9,48.3,33.3,"27,580",16.9,2%
1201–1500,Selçuk University,22.8–28.2,22.4,14.4,36.7,58.2,34.1,"32,183",14,8%
1201–1500,Semnan University of Medical Sciences and Health Services,22.8–28.2,25.4,10.5,46.2,16.2,29.1,"3,537",7.9,7%
1201–1500,Seoul National University of Science and Technology (SeoulTech),22.8–28.2,28,20.1,32.7,39.8,30.6,"8,987",13.8,9%
1201–1500,University of La Serena,22.8–28.2,12.3,9.9,49.2,16.4,50.4,"8,170",26.4,1%
1201–1500,Shahid Bahonar University of Kerman,22.8–28.2,19.4,13.7,41.8,26.9,26.3,"13,458",22.1,1%
1201–1500,Shahid Sadoughi University of Medical Sciences,22.8–28.2,39.1,10.6,20.8,17.5,20.6,"6,260",13,2%
1201–1500,Shahjalal University of Science and Technology,22.8–28.2,13.2,8.4,43.4,16.6,44.8,"9,585",17.8,0%
1201–1500,University of Shanghai for Science and Technology,22.8–28.2,23.1,11.5,40.4,36.7,26.6,"26,472",10.5,2%
1201–1500,Shibaura Institute of Technology,22.8–28.2,20.8,20.1,22.3,36.3,42.3,"9,001",29.7,5%
1201–1500,Shiga University of Medical Science,22.8–28.2,31.5,12.8,32.3,62.7,24.5,"1,163",3.2,4%
1201–1500,Showa University,22.8–28.2,32.8,10.3,35.5,40.2,19.8,"3,668",1.6,0%
1201–1500,Silesian University of Technology,22.8–28.2,21.8,15.6,39.4,31.5,26.6,"17,424",12,4%
1201–1500,Université de Skikda,22.8–28.2,12.5,7.6,51.3,15.8,40.6,"32,675",29.4,0%
1201–1500,Slovak University of Agriculture in Nitra,22.8–28.2,23.6,12.2,27.4,18.9,48.5,"4,550",11.9,5%
1201–1500,Sohag University,22.8–28.2,12.5,9,53.5,18.3,48.8,"64,200",27.6,0%
1201–1500,Soonchunhyang University,22.8–28.2,19.8,25.4,33,48.2,35,"10,329",21.4,6%
1201–1500,Soongsil University,22.8–28.2,26.7,15,25.1,47.4,35.6,"15,808",18.6,12%
1201–1500,Université Sorbonne Nouvelle,22.8–28.2,25.7,15.3,20.8,15.6,70,"16,357",23.7,26%
1201–1500,University of Sousse,22.8–28.2,30.3,10.3,31.4,19.3,40.1,"25,887",13.7,2%
1201–1500,University of South China,22.8–28.2,26.8,13.9,27.7,30.6,22.3,"28,160",7.4,2%
1201–1500,Southern Federal University,22.8–28.2,27.9,14.3,21.4,32.1,40.3,"19,181",11.3,11%
1201–1500,South Valley University,22.8–28.2,16,9.2,53.3,17.7,48.9,"61,914",33,1%
1201–1500,Southwest Petroleum University,22.8–28.2,17.9,15.1,38.3,53.1,21.8,"33,002",15.9,2%
1201–1500,University of Split,22.8–28.2,17.9,13.9,49.1,23.1,36,"19,354",15.7,2%
1201–1500,Sri Venkateswara University,22.8–28.2,36.8,11.3,23.6,20.9,31.5,"7,276",15,0%
1201–1500,SRM Institute of Science and Technology,22.8–28.2,21.6,11.5,51.6,21.9,26.8,"49,683",15.5,2%
1201–1500,Ştefan cel Mare University of Suceava,22.8–28.2,15.6,13,49.3,16.8,36.9,"8,939",22.9,14%
1201–1500,St Marianna University School of Medicine,22.8–28.2,27.6,9.9,44.4,37.3,20.1,821,0.8,1%
1201–1500,St Petersburg Electrotechnical University (LETI),22.8–28.2,22.6,16.4,22.8,37.6,41.7,"8,712",13.6,20%
1201–1500,Universiti Sultan Zainal Abidin,22.8–28.2,24.1,11.3,38.6,16.5,47,"12,271",17.7,7%
1201–1500,University of Sunderland,22.8–28.2,18.2,9.9,40.2,42.1,71.6,"13,320",16,42%
1201–1500,Suranaree University of Technology,22.8–28.2,21.9,20.9,27.7,54.9,37.9,"14,265",26.2,1%
1201–1500,Universitas Syiah Kuala,22.8–28.2,14,9.4,51.5,19.5,25.8,"30,701",20.4,0%
1201–1500,University of Talca,22.8–28.2,17.4,13.7,31.5,36.7,52.3,"12,510",15.5,0%
1201–1500,Tamkang University,22.8–28.2,15.3,12.7,34.1,43.6,42.9,"23,600",22.5,7%
1201–1500,University of Tarapacá,22.8–28.2,12.4,19,45.1,19.4,59,"10,496",31.8,4%
1201–1500,Taras Shevchenko National University of Kyiv,22.8–28.2,30,13.1,20.2,31.4,31.8,"25,937",10.6,5%
1201–1500,Technical University of Cluj-Napoca,22.8–28.2,17,13.2,39.3,29.5,25,"19,065",20.5,2%
1201–1500,Technical University of Crete,22.8–28.2,13.1,11.1,50.4,40.6,40.7,"6,935",33.2,4%
1201–1500,Technical University of Košice,22.8–28.2,26.5,17.1,30.2,30,44.8,"9,573",13.1,23%
1201–1500,University of Technology of Compiègne,22.8–28.2,26.7,10.9,24.3,48.8,83.8,"4,170",15.6,19%
1201–1500,Universiti Teknikal Malaysia Melaka,22.8–28.2,20.1,11.4,32.6,19.6,44.2,"11,730",16.1,6%
1201–1500,Institut Teknologi Sepuluh Nopember,22.8–28.2,25.3,10.8,25.4,35.4,42.5,"20,658",7.1,6%
1201–1500,University of Texas Rio Grande Valley,22.8–28.2,17.9,8.5,45.1,17.4,46.1,"28,703",21.7,2%
1201–1500,Tezpur University,22.8–28.2,31.3,15.3,27.9,33.8,18.4,"4,447",15.3,1%
1201–1500,Thammasat University,22.8–28.2,26.3,19.1,25.7,30.1,38.1,"30,488",11.4,1%
1201–1500,Thiagarajar College of Engineering,22.8–28.2,18.7,8.9,41.9,20.2,18,"4,378",18.3,0%
1201–1500,Toho University,22.8–28.2,24.7,15,33.7,57.3,21.5,"5,424",13.7,0%
1201–1500,Tokai University,22.8–28.2,18.3,12,36.5,46,30.4,"28,334",16,4%
1201–1500,Tokushima University,22.8–28.2,29.2,24,24.4,81.6,26.4,"7,482",9.7,2%
1201–1500,Tokyo University of Marine Science and Technology,22.8–28.2,31.3,15.2,19.7,43.1,44.4,"2,602",10.4,8%
1201–1500,Tokyo University of Science,22.8–28.2,24,26.1,26.4,74,29.1,"17,662",24,4%
1201–1500,Tomas Bata University in Zlín,22.8–28.2,18.1,21,31.8,26.1,51.3,"9,642",20.1,11%
1201–1500,University of Toyama,22.8–28.2,27,14.6,29.2,61.9,33.1,"8,891",10.6,3%
1201–1500,Transilvania University of Brașov,22.8–28.2,15.4,11.5,49.8,18.7,36.9,"20,075",20.4,1%
1201–1500,Tribhuvan University,22.8–28.2,11.3,8.2,49.5,15.9,46.7,"482,541",30.9,0%
1201–1500,Tunghai University,22.8–28.2,16.5,14.4,37.8,49.4,46.6,"15,201",20.4,10%
1201–1500,University of Tunis,22.8–28.2,30.9,10.3,23.5,16.6,39.2,"17,124",11.4,2%
1201–1500,Tzu Chi University,22.8–28.2,25.3,26,18.3,65.6,27.1,"3,050",8.9,8%
1201–1500,UNIR – International University of La Rioja,22.8–28.2,11.9,13.9,38,15.6,58.6,"35,499",36,37%
1201–1500,Unisinos University,22.8–28.2,30.1,15.4,22.3,25.2,29.3,"12,990",24.3,0%
1201–1500,Universiti Tun Hussein Onn Malaysia (UTHM),22.8–28.2,22,13.5,37,18.5,42.1,"16,137",16.6,6%
1201–1500,University of Valladolid,22.8–28.2,25.1,14.4,37.9,43.8,38.1,"21,261",10.7,6%
1201–1500,Veltech University,22.8–28.2,17.9,9.1,44.4,16,27.7,"9,943",14.4,2%
1201–1500,University of Venda,22.8–28.2,20.3,29.2,19.9,16.8,49,"11,848",29.4,1%
1201–1500,"Vietnam National University, Hanoi",22.8–28.2,20.9,11.2,46.8,19.1,48.9,"52,005",15.9,1%
1201–1500,Vilnius Gediminas Technical University (Vilnius Tech),22.8–28.2,22,16.3,36,57.8,47.2,"8,369",12.3,11%
1201–1500,"Visvesvaraya National Institute of Technology, Nagpur",22.8–28.2,24.5,13.4,41.8,40.4,20.1,"4,512",15.3,2%
1201–1500,V.N. Karazin Kharkiv National University,22.8–28.2,26.4,10.9,8.8,46.6,47.2,"17,491",8.3,28%
1201–1500,Volgograd State University,22.8–28.2,24,12.9,34.5,15.8,27.9,"6,577",10.5,5%
1201–1500,VSB - Technical University of Ostrava,22.8–28.2,26.8,19.7,27.8,31,46.9,"11,390",14.7,13%
1201–1500,Vytautas Magnus University,22.8–28.2,22.4,12.3,27.4,20.9,61.9,"8,210",11.2,15%
1201–1500,Walailak University,22.8–28.2,20.9,13.3,35.5,16.3,40.7,"8,553",13.6,1%
1201–1500,Warsaw University of Life Sciences – SGGW,22.8–28.2,19.9,11.8,41.6,23.4,34.2,"15,737",13.4,8%
1201–1500,Warsaw University of Technology,22.8–28.2,22,19.6,33.3,53.5,31.7,"23,167",17.1,7%
1201–1500,University of West Bohemia,22.8–28.2,20.5,18,35.2,27.7,32.4,"11,252",14.8,5%
1201–1500,University of Western Macedonia,22.8–28.2,11.6,17.1,39.3,26.2,27.9,"10,959",46.2,2%
1201–1500,West University of Timişoara,22.8–28.2,24.3,13.7,40.2,17.4,34.9,"15,142",23.9,6%
1201–1500,Wrocław University of Environmental and Life Sciences,22.8–28.2,19.1,13.9,34.3,49.8,29.6,"7,099",16.7,4%
1201–1500,Wrocław University of Science and Technology,22.8–28.2,19.7,17.4,33.1,54.6,29.7,"22,772",19.8,4%
1201–1500,Wuhan Textile University,22.8–28.2,15,11,46.2,36.7,23.5,"23,369",15.8,1%
1201–1500,Xiangtan University,22.8–28.2,17,15.9,49,33.7,21.8,"33,943",20.6,0%
1201–1500,Xuzhou Medical University,22.8–28.2,15.8,16.3,43.5,26,21.4,"14,112",18.6,3%
1201–1500,Yamagata University,22.8–28.2,28,15.3,24.8,72.2,32.3,"8,657",8.8,2%
1201–1500,Yamaguchi University,22.8–28.2,28.5,13.4,21.4,57.3,33.4,"10,437",10.9,5%
1201–1500,University of Yamanashi,22.8–28.2,27.8,13.1,25.9,45.4,29,"4,616",6.2,5%
1201–1500,Yarmouk University,22.8–28.2,19.9,12.9,41.5,20.8,53.1,"31,177",28.3,11%
1201–1500,Yasouj University,22.8–28.2,14.7,14.5,52.3,20.1,22.4,"6,236",25.8,0%
1201–1500,Yokohama National University,22.8–28.2,26,22.5,19.1,71.2,36.1,"9,649",13.4,8%
1201–1500,Yuan Ze University,22.8–28.2,18.5,24.1,32.1,69,42.8,"6,852",23,8%
1201–1500,Yuriy Fedkovych Chernivtsi National University,22.8–28.2,22.8,9.9,8.2,17.6,26.3,"10,592",10.4,1%
1201–1500,University of Zambia,22.8–28.2,13.2,9.8,45.8,19.9,54.9,"20,976",24.6,2%
1201–1500,University of Zanjan,22.8–28.2,17.1,12.3,42.6,21.5,27.3,"9,611",23.5,0%
1201–1500,Zanjan University of Medical Sciences,22.8–28.2,36.4,12.6,35.5,24.2,21.5,"5,278",10.9,1%
1201–1500,Zhejiang Chinese Medical University,22.8–28.2,16.5,16.4,34.5,37.2,23,"18,260",31,5%
1201–1500,University of Zimbabwe,22.8–28.2,12.9,12.7,37.3,20.9,50.8,"25,108",22.5,0%
1501,Université 8 Mai 1945 Guelma,9.7–22.7,14.7,8.6,25.4,15.9,37,"18,030",20.9,1%
1501,University Abdelhamid Ibn Badis Mostaganem,9.7–22.7,17.7,7.8,8.1,15.7,33.5,"24,983",19.5,1%
1501,Abdelmalek Essaâdi University,9.7–22.7,21.6,9.7,30.1,17.2,29.4,"122,962",91.8,1%
1501,University of Abou Bekr Belkaïd Tlemcen,9.7–22.7,22.7,9,11.6,19.6,35.3,"42,485",21.3,1%
1501,Acıbadem University,9.7–22.7,25.8,12,22.7,24.2,30.3,"2,547",5.7,3%
1501,Adelphi University,9.7–22.7,24.1,7.7,26.1,16.4,33,"6,582",11.1,7%
1501,Afe Babalola University,9.7–22.7,23.4,11.6,17.2,24.6,43.6,"9,660",10.7,1%
1501,Akita University,9.7–22.7,25.6,13.4,20.8,39.1,26.7,"5,002",10.7,4%
1501,Aksaray University,9.7–22.7,11.6,8.8,23.5,26.8,28,"19,511",22.2,8%
1501,Alexandru Ioan Cuza University,9.7–22.7,16.5,12.1,31.6,18.3,40.2,"25,443",22.3,8%
1501,Altai State University,9.7–22.7,20.5,16.5,15.2,25.2,64.4,"9,271",19,27%
1501,Alzahra University,9.7–22.7,25.4,15.3,24.6,19.6,31,"10,531",28.4,3%
1501,University of Anbar,9.7–22.7,17.7,9.1,39.1,16.9,29.3,"26,956",15.5,0%
1501,Universitas Andalas,9.7–22.7,24.7,12.7,16.5,36.1,33.2,"32,695",22,1%
1501,"University of the Andes, Venezuela",9.7–22.7,21.9,8.6,8.8,27.7,50.2,"20,302",10.1,2%
1501,Andhra University,9.7–22.7,38.2,10.4,18.7,26.1,24.1,"10,382",14.8,5%
1501,Universidad Andrés Bello (UNAB),9.7–22.7,15.1,10.4,33.5,20.7,50.6,"46,249",18.4,2%
1501,Ankara University,9.7–22.7,18.2,11.6,30.5,36.6,34.4,"70,464",27.6,6%
1501,Ankara Yildirim Beyazit University,9.7–22.7,19.2,12.6,23.1,17.3,35.4,"21,060",23.3,12%
1501,Annamalai University,9.7–22.7,35.5,9.6,20,22.2,20.1,"18,360",13.6,0%
1501,Antonio Nariño University,9.7–22.7,16.6,7.9,33.1,16,51.5,"13,691",14.1,2%
1501,Aoyama Gakuin University,9.7–22.7,20,8.9,10.4,22.2,36.2,"19,692",12.2,3%
1501,Arak University,9.7–22.7,19.5,11.2,32.7,20.1,26.3,"7,506",18.7,5%
1501,Universidad Autónoma de Ciudad Juárez,9.7–22.7,15.6,8,10.2,17.5,37.3,"36,463",15,2%
1501,Universidad Autónoma de Coahuila,9.7–22.7,21.4,8,12.8,18.1,34.4,"27,413",29.6,0%
1501,Universidad Autónoma del Estado de Hidalgo,9.7–22.7,19.2,9.6,11.1,18.1,26.4,"38,732",19.5,0%
1501,Universidad Autónoma del Estado de Mexico (UAEMex),9.7–22.7,22.2,9.3,7.7,17.4,26.9,"66,758",10.6,1%
1501,Universidad Autónoma del Estado de Morelos,9.7–22.7,17.1,9.1,9.1,28.8,27.4,"30,889",17.4,0%
1501,Universidad Autónoma de Nuevo León (UANL),9.7–22.7,13.3,9.1,17.1,19.8,33.4,"132,850",48,0%
1501,Universidad Autónoma de Querétaro,9.7–22.7,19.1,10.5,19.1,23.7,30,"25,567",45.2,1%
1501,Universidad Autónoma de Yucatán,9.7–22.7,14.9,10,14.6,24.1,33.6,"19,128",19.6,0%
1501,Autonomous University of Baja California,9.7–22.7,13,9,12.6,17,35.7,"67,944",21.7,3%
1501,Badji Mokhtar University – Annaba,9.7–22.7,34.1,16.2,12.5,16.9,35,"38,030",11.9,2%
1501,University of Baghdad,9.7–22.7,25.1,12.6,19.8,28.5,20.2,"77,128",13.3,0%
1501,Baku State University,9.7–22.7,20.1,8.6,13.8,19.7,35.5,"23,684",13.2,2%
1501,Başkent University,9.7–22.7,20,12.2,15.7,29.1,22,"13,970",13.3,3%
1501,University of Basrah,9.7–22.7,23.4,7.8,14.6,16.2,26.1,"42,848",11.7,0%
1501,University of Batna 2,9.7–22.7,17.5,7.9,12.2,15.9,30.4,"27,867",23.7,1%
1501,University of Béjaïa,9.7–22.7,13.8,8.3,14.4,20.9,44.9,"40,752",23.7,1%
1501,Belgorod State National Research University,9.7–22.7,23.4,13.7,10.6,34.1,42.3,"14,066",15.6,20%
1501,Benemérita Universidad Autónoma de Puebla,9.7–22.7,15.6,9.5,17.1,19.4,37.7,"79,695",45.2,1%
1501,University of Benin,9.7–22.7,15.5,5.7,35,16.4,34.7,"47,837",25.8,0%
1501,Bernardo O’Higgins University,9.7–22.7,13.9,10.3,10.7,20.9,54,"9,010",18.6,6%
1501,Bharath Institute of Higher Education and Research,9.7–22.7,21.1,7.3,30.2,21.2,35.9,"22,563",14,2%
1501,Bharati Vidyapeeth University,9.7–22.7,24.8,9.4,13.5,30.4,18.8,"9,925",7.3,0%
1501,Bialystok University of Technology,9.7–22.7,23,14.9,23.1,20.6,24.3,"6,471",10.8,3%
1501,Bilecik Şeyh Edebali University,9.7–22.7,14.5,9.5,22.8,17.8,32,"10,386",16.3,13%
1501,University of Bío-Bío,9.7–22.7,12.9,12.8,13.9,19.1,46.7,"12,662",25.5,1%
1501,University of Birjand,9.7–22.7,11.1,9.5,26.7,16.8,26.2,"12,245",36.9,4%
1501,University of Biskra,9.7–22.7,16.3,8.6,19.3,15.9,38.1,"30,508",21.5,0%
1501,Blida 1 University,9.7–22.7,19.6,8.6,14.9,16.7,36.8,"29,433",20.4,1%
1501,Bolu Abant Izzet Baysal University,9.7–22.7,15.6,9.3,29.2,17.4,32.4,"23,820",22.1,9%
1501,Bozok University,9.7–22.7,16.1,9.4,30.3,16.9,28.9,"13,417",14.4,5%
1501,University of Brawijaya,9.7–22.7,20.5,9.9,17.2,20.4,25.7,"55,332",14.4,1%
1501,Burapha University,9.7–22.7,16,9.8,10.3,20.9,27.6,"24,431",17.4,2%
1501,Bursa Technical University,9.7–22.7,13.7,9.4,30.4,18.5,29.7,"8,696",18.5,8%
1501,Bursa Uludağ University,9.7–22.7,18.8,10.4,20,31,32.3,"41,901",24.2,10%
1501,University of Caldas,9.7–22.7,10.1,11,9,53.2,32.2,"27,456",58.2,0%
1501,Çankırı Karatekin University,9.7–22.7,12.5,9.5,22.7,15.6,41,"10,567",19.9,20%
1501,Catholic University of Brasília,9.7–22.7,15.4,10.5,11.7,19,35.7,"10,064",22.6,0%
1501,Catholic University of the North,9.7–22.7,14.2,15.2,29,18.2,58,"11,528",20.3,3%
1501,Universidad Católica del Maule,9.7–22.7,13.4,13.4,19.3,15.8,57.5,"10,891",21.1,3%
1501,Universidad Católica de la Santísima Concepción,9.7–22.7,13.2,14.9,22.9,16.9,48.9,"9,879",22.9,0%
1501,University of Caxias do Sul,9.7–22.7,15.9,9.4,11.8,22.3,21.6,"15,054",30.4,0%
1501,Ceará State University,9.7–22.7,21.1,11.4,8.9,17.9,20.2,"16,305",14.7,0%
1501,Manisa Celal Bayar University,9.7–22.7,14.9,5.2,21.6,16.7,22,"28,224",17.9,3%
1501,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),9.7–22.7,12.4,9.7,18.2,16.7,30.6,"18,816",21,0%
1501,CES University,9.7–22.7,19.2,9.1,5.8,16.4,37.1,"6,612",13.6,3%
1501,Chaoyang University of Technology,9.7–22.7,14.1,18.2,28.2,47,38.9,"14,432",37.5,5%
1501,College of Charleston,9.7–22.7,17.4,7.9,30.4,23.2,29.8,"9,986",16.3,1%
1501,Chelyabinsk State University,9.7–22.7,12.3,10.7,10.7,17,25.9,"11,226",24.3,2%
1501,Chiba Institute of Technology,9.7–22.7,14.8,8.8,13,26.1,20.9,"9,979",24.4,2%
1501,Chinese Culture University,9.7–22.7,13.9,10,16.8,26.1,29.8,"23,152",23.5,6%
1501,Université Chouaïb Doukkali,9.7–22.7,13.4,10.8,28.8,18.9,26.7,"23,437",34.5,2%
1501,Chubu University,9.7–22.7,17.1,11.9,15.9,33.4,34.1,"8,929",17.1,2%
1501,Chuo University,9.7–22.7,18.7,12.7,15.5,27.2,30.4,"26,161",35.6,4%
1501,University of Colima,9.7–22.7,21.6,8,12.4,20,31.6,"14,288",9.3,0%
1501,Comillas Pontifical University,9.7–22.7,18.3,15.7,26.3,31.4,44.2,"9,765",21,7%
1501,Communication University of China,9.7–22.7,27.5,17.3,15.5,37.6,23.4,"17,316",15.3,3%
1501,Cracow University of Technology,9.7–22.7,21.2,10.7,30.4,28.2,27.3,"13,510",12.2,5%
1501,University of Craiova,9.7–22.7,18.3,11.5,25.2,18.4,24,"16,907",20.9,4%
1501,Damghan University,9.7–22.7,17.7,11.4,27,17.9,27.9,"4,709",15.9,0%
1501,University of Dar es Salaam,9.7–22.7,14.4,10.3,28.2,21.7,49.5,"36,666",21.1,0%
1501,De La Salle University,9.7–22.7,19.6,12.8,31.3,17.4,29.3,"14,905",14.5,3%
1501,University for Development Studies,9.7–22.7,11.1,9.9,31.1,18.9,51.5,"16,714",27.4,0%
1501,Dicle University,9.7–22.7,30.3,16.9,12.7,53,21.9,"32,454",17.5,4%
1501,Diponegoro University,9.7–22.7,27.1,15.4,19.1,42.9,35.1,"35,688",18,2%
1501,Dokkyo Medical University,9.7–22.7,26.7,10.3,22,37.9,19.1,"1,314",1.2,1%
1501,Doshisha University,9.7–22.7,17.9,10.9,11.1,30.7,35.5,"27,624",18.6,4%
1501,Dumlupinar University,9.7–22.7,10.9,7.8,23.3,19.8,38.5,"44,749",44.4,19%
1501,Dunarea de Jos University of Galati,9.7–22.7,19.8,9.2,17.5,16.4,46.1,"12,481",16,22%
1501,EAFIT University,9.7–22.7,17,11,16.5,16.5,44.7,"11,298",18.8,1%
1501,El Bosque University,9.7–22.7,23.7,9.3,20,16.9,46.6,"12,702",6.8,2%
1501,Erzincan Binali Yıldırım University,9.7–22.7,12,8.7,37.6,16.6,23.7,"24,096",21.9,4%
1501,Escuela Politécnica Nacional,9.7–22.7,18.2,9.4,29,18.6,52.1,"7,458",13.2,1%
1501,Eskişehir Osmangazi University,9.7–22.7,21.5,16.6,20.5,19.2,27,"30,301",17.5,7%
1501,Universidade do Estado de Santa Catarina,9.7–22.7,26.5,11,15.7,17,21.2,"12,417",11.5,1%
1501,Universidade Estadual do Norte Fluminense Darcy Ribeiro,9.7–22.7,21.1,10.9,21.6,22.3,34.5,"7,105",22.8,0%
1501,Universidade Estadual de Maringá,9.7–22.7,28.9,13.8,20.2,21.2,22,"18,706",12.2,0%
1501,Universidade Estadual do Oeste do Paraná (Unioeste),9.7–22.7,27.6,9.8,7.4,17.2,20.4,"12,529",9.9,0%
1501,"Federal University of Agriculture, Abeokuta",9.7–22.7,15.6,8,24.5,17,31.4,"17,433",26.5,0%
1501,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),9.7–22.7,21.2,12.8,25.1,21.2,26.1,"4,183",11.6,1%
1501,Federal University of Itajubá,9.7–22.7,17.7,9.6,21.3,20.5,28,"8,608",17.3,1%
1501,Universidade Federal de Juiz de Fora,9.7–22.7,18.5,12.1,27.5,18.6,29.8,"26,483",16.6,0%
1501,Universidade Federal do Maranhão (UFMA),9.7–22.7,15.2,10.3,14.5,18.7,23.2,"37,016",19.2,0%
1501,Federal University of Mato Grosso do Sul,9.7–22.7,21.4,11.7,22.3,33,28.9,"26,725",15,1%
1501,Universidade Federal de Ouro Preto (UFOP),9.7–22.7,22.1,12,20.7,25.5,24.7,"14,799",16.3,1%
1501,Federal University of Pará,9.7–22.7,22.6,11.7,21.3,21.7,26.8,"46,837",17.7,0%
1501,Federal Rural University of Pernambuco,9.7–22.7,25,11,19.1,20,23.4,"14,347",12.3,0%
1501,Universidade Federal Rural do Semi-Arido,9.7–22.7,19.1,9,5.7,16.6,18.3,"8,687",12.4,0%
1501,Universidade Federal de Sergipe,9.7–22.7,17,10.4,36.4,18.1,28.1,"26,133",16,0%
1501,Fluminense Federal University,9.7–22.7,21,13.1,27.8,22.5,30.8,"70,629",20.8,1%
1501,University of Fortaleza (UNIFOR),9.7–22.7,14.3,9.4,33.6,16.9,37.8,"21,048",20.3,0%
1501,Université Frères Mentouri Constantine 1,9.7–22.7,20.2,8.1,13.5,18.2,38.3,"32,394",16.2,1%
1501,Universidad de las Fuerzas Armadas – ESPE,9.7–22.7,15.9,8.6,11.6,16.3,40.6,"19,314",14.5,1%
1501,University of Fukui,9.7–22.7,26,12.4,16.4,37.9,26.5,"4,803",7.6,2%
1501,Fukuoka University,9.7–22.7,23.5,9.7,17.9,37.1,24.4,"19,536",8.7,1%
1501,Université de Gabès,9.7–22.7,20.8,9.4,28.9,16.7,42.8,"12,714",12.4,1%
1501,Gaziantep University,9.7–22.7,15.6,10.8,33,20.1,39.5,"31,977",38.1,12%
1501,Georgian Technical University,9.7–22.7,32.4,9.3,22.2,16.1,40.8,"19,873",15,2%
1501,German University in Cairo,9.7–22.7,18.6,8.7,34,16.8,48.6,"12,332",12.8,2%
1501,Gheorghe Asachi Technical University of Iaşi,9.7–22.7,15.9,9.6,23.2,26.2,32.1,"13,357",20.8,9%
1501,GITAM University,9.7–22.7,19.6,9.3,20.8,19,25.2,"23,730",13.9,1%
1501,Goa University,9.7–22.7,32.1,12.4,23,18.6,24.1,"2,820",11.8,3%
